relation	product_status	enterprise_status	product_bytes	enterprise_bytes	product_sha256	enterprise_sha256	path
identical	modified	modified	27649	27649	e6935017b9016e7d46acb5b38a706960b7816df68d050ec4b47edb50f1297483	e6935017b9016e7d46acb5b38a706960b7816df68d050ec4b47edb50f1297483	packages/artifacts/src/index.ts
identical	modified	modified	9746	9746	5ef36384623214f45401652a8d5ce7f6fa9cf353c5d8dc1f78bc3631624d27b0	5ef36384623214f45401652a8d5ce7f6fa9cf353c5d8dc1f78bc3631624d27b0	packages/artifacts/tests/registry.spec.ts
identical	modified	modified	2140	2140	b479ed2163408da3e3be8aac13d0bd91412bfbf9ff1747fea90fff494a244329	b479ed2163408da3e3be8aac13d0bd91412bfbf9ff1747fea90fff494a244329	packages/better-sidebar-adapter/README.md
divergent	modified	modified	1687	1622	b4ecb2e84d42590b32986b136a5801e2c08abfdf54436a954043630ba6d237a8	74a5bf283193dca1913604555d88a3b0014b9cf35946123c8fc260e2a7c407eb	packages/better-sidebar-adapter/package.json
divergent	modified	modified	22616	16032	66c6b0e2c9ff5082c76c82c6f13a0d7525bc47be922e5dfd4eb68e268b28573f	f832173d32039c8a8213bc705040c96ad1067ba403bc91ff4bc41c8c704bce2a	packages/better-sidebar-adapter/src/index.ts
divergent	modified	modified	18075	11299	3d106c42e0b22257d0cefa96a7fa8b5951756e1cde9a05e82c73acc7b161e921	e7b2e92c601d4d7fd1724632f2cdab98cd8c20fffb4e6979b14e6a278c780325	packages/better-sidebar-adapter/tests/adapter.spec.ts
identical	modified	modified	1542	1542	ccbeed7592a346d64d694cb6f886bbf1d900ffd0fbcaeb44a2fe6249dd7e9f65	ccbeed7592a346d64d694cb6f886bbf1d900ffd0fbcaeb44a2fe6249dd7e9f65	packages/branding/package.json
identical	modified	modified	8940	8940	b6eb60d308463397371a3e3f15c0893d31ba71e62de346d88392b15e03838a7c	b6eb60d308463397371a3e3f15c0893d31ba71e62de346d88392b15e03838a7c	packages/branding/src/client/index.tsx
identical	modified	modified	1109	1109	abdc9da9e5cdf9065e80cbd395573caf0100f32958a5a32a15f2c92bda645bc4	abdc9da9e5cdf9065e80cbd395573caf0100f32958a5a32a15f2c92bda645bc4	packages/category-analysis-adapter/package.json
divergent	modified	modified	9810	9790	bdba2e3cecce78b73cd876b0ad29bb4ab2bb642c3db0eb130b7968c729af5563	9a9399f7db68e4fc25206228dfc1af6a9ad5e6ad844adab78a054ea227bb572f	packages/category-analysis-adapter/src/index.ts
identical	modified	modified	629	629	c9e71a0a7393369cfc2eb53dfddd227fa231a65efdc8e3288cccc92ba45e9177	c9e71a0a7393369cfc2eb53dfddd227fa231a65efdc8e3288cccc92ba45e9177	packages/contracts/package.json
identical	untracked	untracked	2382	2382	dfa2d8d14dbb01cafaf2dcf292ded23b52db30460e6fd3b6df12660afca4007b	dfa2d8d14dbb01cafaf2dcf292ded23b52db30460e6fd3b6df12660afca4007b	packages/conversation-artifact-renderer/README.md
identical	untracked	untracked	1562	1562	1f4960c113c19b4c71ab47d92d4f9ef9905aa608cb932cbd7cc93e15854c771d	1f4960c113c19b4c71ab47d92d4f9ef9905aa608cb932cbd7cc93e15854c771d	packages/conversation-artifact-renderer/package.json
identical	untracked	untracked	14619	14619	2ae94188c6383ab08a15986bce3101dbf3ef8df27f0b7c1184d1eb55bbf82ae6	2ae94188c6383ab08a15986bce3101dbf3ef8df27f0b7c1184d1eb55bbf82ae6	packages/conversation-artifact-renderer/src/client/index.tsx
identical	untracked	untracked	260	260	88aeda63585078a1873b88fa808bc96e94f70f06e44c350d71fd17a0f280d4fe	88aeda63585078a1873b88fa808bc96e94f70f06e44c350d71fd17a0f280d4fe	packages/conversation-artifact-renderer/src/index.ts
divergent	untracked	untracked	333	361	bda6310783b663013499cb20c4530e7b67b17ae12a684b1d5f0cd9938fa7a84d	bc383fc2a192572b2d956e10e408acc8ff7c9bb045110ecd7e38a0f53d6192f2	packages/conversation-artifact-renderer/src/invariant.ts
identical	untracked	untracked	6590	6590	de6615056144893f7dc091c873bac6a5cacbae78b42ff77e44619988119313fb	de6615056144893f7dc091c873bac6a5cacbae78b42ff77e44619988119313fb	packages/conversation-artifact-renderer/tests/client.spec.tsx
identical	untracked	untracked	783	783	c42d4b984cb51ab8a7b378490258f38c140f03e92d5a62d7bb958237c8fae636	c42d4b984cb51ab8a7b378490258f38c140f03e92d5a62d7bb958237c8fae636	packages/conversation-artifact-renderer/tests/invariant.spec.ts
identical	untracked	untracked	282	282	a26140305ad0a039f3af53cba4d8b6cc91535b713ae3895102caef1ec077bbea	a26140305ad0a039f3af53cba4d8b6cc91535b713ae3895102caef1ec077bbea	packages/conversation-artifact-renderer/tsconfig.json
identical	modified	modified	1454	1454	ac46d9d47a88233d8a41e990cd6e834e84fc25ed628a9e73b9c3d500036388c6	ac46d9d47a88233d8a41e990cd6e834e84fc25ed628a9e73b9c3d500036388c6	packages/developer-resources/package.json
identical	modified	modified	5971	5971	057fba2f44ef3f6d4c3390e78e998970bec984364aaf41ece2a15668727ab7cb	057fba2f44ef3f6d4c3390e78e998970bec984364aaf41ece2a15668727ab7cb	packages/developer-resources/src/index.ts
divergent	modified	modified	1972	1988	5ac6f90063091c76ab418f583ab734ea420134e0bc7a5e9bbe2e0aef8e3adaca	024f1568144df5a3e86e36725400c6ad6ecee79cb2adad00c24b94040e5d1375	packages/extension-center/package.json
divergent	modified	modified	51029	43403	ec5a4799c45387b6b9a583053a023f300d60828c45faf41fe55d1540ce824ff5	032c6cbc2a20c9676cca8fb055b67f3f5ed0da4e570abb38e95dc220a9f3efcf	packages/extension-center/src/client/index.tsx
divergent	untracked	untracked	9106	8512	75d64326f39fad5d065a42762d5b94f89f6dae838af35591a941a6f3f7370a2c	184b62fe752629900189f039d95de495f02ebac4992ad41e237a64535c79416b	packages/extension-center/src/feature-packs.ts
divergent	modified	modified	33790	7840	eb0905ada8023517cadb93e85f8e8804d0dd7697d84e0333b273932229fa99ed	1169790b4885af026947be240e2923471ab93358ce7651522db59bb410e17905	packages/extension-center/src/index.ts
divergent	untracked	untracked	1460	2710	30d97e28ce81e19b2fa771c629b80fe1f8ff5f88650a95556263b9bd604a23eb	3717b2e3cac5740d464d92cde5fe0c5d936c51bee605b5c5e6ea25fd6f5e6319	packages/extension-center/src/projection.ts
divergent	untracked	untracked	2984	2774	b9b864b287a36b9de70b0834a79612ece9f89ca25513fd163a96ec0c861cf070	f3892ab4723771dbd09fae372d85374a5d96416e1ec06968ed0420ab9c1d778a	packages/extension-center/src/remote.ts
divergent	modified	modified	17924	8599	272e9435bfba8bd67a476b0bcbffd1949a278c6e31674f701f9732b7ceb085a2	528225b678361e17b4d9dc9d01fb98475a861c277c93a100c7c8b68eaeb60556	packages/extension-center/tests/client.spec.tsx
identical	modified	modified	1063	1063	da51faaf6c5bb7ed6ff737c121225ed15fc4106b9715f53109291f90ab500f7d	da51faaf6c5bb7ed6ff737c121225ed15fc4106b9715f53109291f90ab500f7d	packages/fact-layer/package.json
divergent	modified	modified	7375	7365	8621b655a4dee53374da6fdb977fefed4362b31d3a3637be4b50b411cb390c92	f9806006f12ec248e213f5f17f31e0e6a7bcc2d295257524de2d30bd0aba9c72	packages/fact-layer/src/index.ts
identical	modified	modified	1500	1500	c62aad78b2f1bb2dafe7a38a6e8a4e465851b763327beb30ab6f9f581acdcadb	c62aad78b2f1bb2dafe7a38a6e8a4e465851b763327beb30ab6f9f581acdcadb	packages/generator-bento/package.json
identical	modified	modified	11149	11149	c4dc890196fcc1a065f91967505fb05380ef3c330b2ad42fc22aac584c622e18	c4dc890196fcc1a065f91967505fb05380ef3c330b2ad42fc22aac584c622e18	packages/generator-bento/runtime/hydrate-outline.mjs
identical	modified	modified	4815	4815	31080e106d9e28ec528c14d42d10d0a30009b045414d1fe652d40685fe0553e3	31080e106d9e28ec528c14d42d10d0a30009b045414d1fe652d40685fe0553e3	packages/generator-bento/runtime/render-exact-outline.mjs
identical	modified	modified	59110	59110	a13bc2ecf52ddb3c4889efa3b85efa5ac69833a8f2eed68caa5da436f4deabe5	a13bc2ecf52ddb3c4889efa3b85efa5ac69833a8f2eed68caa5da436f4deabe5	packages/generator-bento/src/index.ts
identical	modified	modified	6557	6557	12b575e8e2745aefc49ef672121156e281bc5d7b54f6abe468e24ceded6a88d9	12b575e8e2745aefc49ef672121156e281bc5d7b54f6abe468e24ceded6a88d9	packages/generator-bento/tests/hydrate-outline.spec.ts
identical	modified	modified	16020	16020	48da2c7a4e2b95ee13dea431e8a8f37cc1a66e007c1445f3b19e57c4872fd263	48da2c7a4e2b95ee13dea431e8a8f37cc1a66e007c1445f3b19e57c4872fd263	packages/generator-bento/tests/provider.spec.ts
divergent	modified	modified	1773	1654	deba45ee5e3a6a1b5e25f4b36cd4f1fa8e4581033dd7bd4f67abfe45422505af	f0c34c8eb2e4d1efa63914c1c44448a44f322903b012906045283e37326ea187	packages/generator-office/package.json
divergent	modified	modified	14244	13366	17d450374f6d058ed3f62af9d690f86d8b30aa1fc4158729c5a09bede9b38a74	29ba67d07a5f5ae796ebe9de24304cd4b7c0a5154355af4871b6797d5596772b	packages/generator-office/src/cli.ts
divergent	modified	modified	23279	22798	b727a53103dbd4048015041d0588949a84b3dc8cf917d52d9a92493f497714a1	a616e41825cab1fc8ce8ea87caa70320d715fe6a02827725c0f96ad355929343	packages/generator-office/src/index.ts
identical	untracked	untracked	17917	17917	d9211123a5ea2eb7e8b9da44bc8b40e626ac8e3fb86c46ad23bb294ac764d7da	d9211123a5ea2eb7e8b9da44bc8b40e626ac8e3fb86c46ad23bb294ac764d7da	packages/generator-office/src/outline-pptx.ts
divergent	modified	modified	12475	11089	0333f8784f97a853278a83634994371a4ef8f1ec8e8823297924a3b2ee799fdb	df0bb22f784bb6d7c2ed27c4e8b6d9dc185ce387c940fabda49b4ffcd88e9989	packages/generator-office/tests/provider.spec.ts
identical	modified	modified	1325	1325	64037a18f25f9f60da05718b45627143216d46723534d84678ed93b60358f29e	64037a18f25f9f60da05718b45627143216d46723534d84678ed93b60358f29e	packages/generator-web/package.json
divergent	modified	modified	8043	7782	31cbbede41fc386462b85cbe8d5808c89e3176d2eb538abbbf40e62c72f315d0	aae66fba743dde2c70962234828f30233a4dff363f2a806cbf8b593a006c2c45	packages/harness-bundle/cordis.patch.yml
divergent	modified	modified	2007	2060	1cf39d7e3f0d04f25ebe8e128efe487b8004c878e106794aaa6ce428c7456207	9203574e0e72886bafd8b026d069a9497e039aca0809af248934bedd30694d2f	packages/harness-bundle/package.json
identical	modified	modified	1746	1746	70abda67a49fb5ef2b33ae1e65a33cc09de7758e2a0366b70fd3d9e9e237e6d7	70abda67a49fb5ef2b33ae1e65a33cc09de7758e2a0366b70fd3d9e9e237e6d7	packages/harness-compat/package.json
identical	modified	modified	33122	33122	18d983de81edaa2727a37824d1066cc1878c70cadbabe91d0fa67460c28fd6de	18d983de81edaa2727a37824d1066cc1878c70cadbabe91d0fa67460c28fd6de	packages/harness-compat/src/client-surface.ts
divergent	modified	modified	27088	25967	c165263378c40a63b03d03466b7dcd0b629d7338028549f857145165def0b66e	9ce77e3e77b30ac0910e1f4ddefd5de595939a99fea9ddd61f9266d0611214d9	packages/harness-compat/src/host.ts
identical	modified	modified	55175	55175	fc186e58e7066e8a263d85b44e82d9c8301adffd51518eadc7bba23ddfbf953c	fc186e58e7066e8a263d85b44e82d9c8301adffd51518eadc7bba23ddfbf953c	packages/harness-compat/src/index.ts
identical	modified	modified	3057	3057	7178d28e396b55526bef9bff66fb3d6d70a778295da08e8d18a80bde3d11edf6	7178d28e396b55526bef9bff66fb3d6d70a778295da08e8d18a80bde3d11edf6	packages/harness-compat/tests/branding.spec.ts
identical	modified	modified	10654	10654	8a5a5790ab3ac7f9cc77a9a5fc04f1d491e75497d053bf961edef7ba0a1436eb	8a5a5790ab3ac7f9cc77a9a5fc04f1d491e75497d053bf961edef7ba0a1436eb	packages/harness-compat/tests/experience.spec.ts
identical	modified	modified	1938	1938	54a6e6436bad4265aae24d951c3fc4df577c5ce253f458caa0e575bc89ab42ff	54a6e6436bad4265aae24d951c3fc4df577c5ce253f458caa0e575bc89ab42ff	packages/notifications/package.json
identical	modified	modified	27157	27157	c62b4bc4fa46b3431b58fb334d0f4d551eb1534d1a48c99864bba236879a4d54	c62b4bc4fa46b3431b58fb334d0f4d551eb1534d1a48c99864bba236879a4d54	packages/notifications/src/client/index.tsx
identical	modified	modified	9961	9961	60ea0fac32ef167036d3dab33550e5d953f26892ad2bb27b9abdab36b0576fa4	60ea0fac32ef167036d3dab33550e5d953f26892ad2bb27b9abdab36b0576fa4	packages/notifications/src/index.ts
identical	modified	modified	11864	11864	5915c119fe4d77f7e68426137d9a93a8a9a2a948e711e71ecca0f59a78288f98	5915c119fe4d77f7e68426137d9a93a8a9a2a948e711e71ecca0f59a78288f98	packages/notifications/tests/client.spec.tsx
identical	modified	modified	1161	1161	f54671ffd5cca647cc30affb92aae2bf6a8a6a2136f6366006c8527fe42ebf1d	f54671ffd5cca647cc30affb92aae2bf6a8a6a2136f6366006c8527fe42ebf1d	packages/platform-api/package.json
divergent	modified	modified	11128	10356	ca50b8d6818d0dc17f099514a1cbdb921d3c4858f871ca8ec93c6b9ec5b9c69b	06fa64488c739586e532885f43288fbf56f6276c901da60f1f315224da7ee608	packages/platform-api/src/index.ts
identical	modified	modified	802	802	6358cd8b31d9d2a4aa164b46db8d912ef3454fead4a2a6ea8a59725a67cc363a	6358cd8b31d9d2a4aa164b46db8d912ef3454fead4a2a6ea8a59725a67cc363a	packages/platform-sdk/package.json
identical	modified	modified	7751	7751	d4b0d845e3b6b0ac40900c92934d78b82bf8e43c04b0fefb84b144de07d65744	d4b0d845e3b6b0ac40900c92934d78b82bf8e43c04b0fefb84b144de07d65744	packages/platform-sdk/src/index.ts
identical	modified	modified	627	627	8f0968c1a7b70583444a14104738f4da6d766ab897ccc34863ddf6945ae3642d	8f0968c1a7b70583444a14104738f4da6d766ab897ccc34863ddf6945ae3642d	packages/presentation-contracts/package.json
identical	modified	modified	1753	1753	a3761b2e6560117c68f62fe217cd992cd60040a900056940669f376eee192dd6	a3761b2e6560117c68f62fe217cd992cd60040a900056940669f376eee192dd6	packages/presentation-trace/package.json
identical	modified	modified	3711	3711	d898bfc547068835a1a422e43e0c1edae6a4625b0771904e0093f3032419671a	d898bfc547068835a1a422e43e0c1edae6a4625b0771904e0093f3032419671a	packages/proposal-experience/README.md
identical	modified	modified	1382	1382	d934a3648e47c2384488be16d4bb19493fb2dff83aefce098ef2f0ad686e1c07	d934a3648e47c2384488be16d4bb19493fb2dff83aefce098ef2f0ad686e1c07	packages/proposal-experience/package.json
identical	modified	modified	35264	35264	b80639ffd1a57e3b3c3c31803dbf1bf397b5e9f613933c70595badd5c423f41f	b80639ffd1a57e3b3c3c31803dbf1bf397b5e9f613933c70595badd5c423f41f	packages/proposal-experience/src/client/index.tsx
identical	modified	modified	597	597	e3c4a6c8221610867789c733ab053550ef756bef58831cc48509275de6be7db6	e3c4a6c8221610867789c733ab053550ef756bef58831cc48509275de6be7db6	packages/proposal-experience/src/index.ts
identical	modified	modified	13617	13617	c5b85708fde100cbd06b5a37dd53fd4953fe38f93e99bd865ad42655caf4d9f2	c5b85708fde100cbd06b5a37dd53fd4953fe38f93e99bd865ad42655caf4d9f2	packages/proposal-experience/tests/client.spec.tsx
identical	modified	modified	1460	1460	8e085b5f0b529f912974861e9ef8334014c3a64be7ac116890e8b546c5af0a72	8e085b5f0b529f912974861e9ef8334014c3a64be7ac116890e8b546c5af0a72	packages/renderer-bento/package.json
divergent	modified	modified	35149	34666	dda1387381a46e04cb8fb2e68ef9de996b59fc825025959baebdca37329d79d6	f2796ae3702233b733da0f4c1aa4bd5a3aa45cf027b17d8cd6b2e18ac9f7674a	packages/renderer-bento/src/client/index.tsx
identical	modified	modified	5505	5505	24587bd729190a0a331c0ef5cf9d66577b6b1638580423cd6cc8892a172f8437	24587bd729190a0a331c0ef5cf9d66577b6b1638580423cd6cc8892a172f8437	packages/renderer-bento/src/index.ts
identical	untracked	untracked	3939	3939	867837291b15a1c878f4a25e83fc606a5ff1ba622781b27b111285db286a8f5f	867837291b15a1c878f4a25e83fc606a5ff1ba622781b27b111285db286a8f5f	packages/renderer-bento/src/legacy-mode-compat.ts
identical	modified	modified	3374	3374	5b56a2143c7239f98fee99e8817093790afd07a77fe8dd36cd31e56fe73c51b6	5b56a2143c7239f98fee99e8817093790afd07a77fe8dd36cd31e56fe73c51b6	packages/renderer-bento/src/shared.ts
divergent	modified	modified	11949	10395	48425b507fe794bf0c2d5481afe340e4b27d07d9a65273747880e27a98dba10e	ecad2854eb2418ba03759d6698eada323933f66cf0ef0000d9ed4366611bb5ab	packages/renderer-bento/tests/client.spec.ts
identical	modified	modified	3624	3624	64f189c15a2e6cdfb0122673a294296a3ac08f43ecf1c3297ef4f3687e674cc4	64f189c15a2e6cdfb0122673a294296a3ac08f43ecf1c3297ef4f3687e674cc4	packages/renderer-bento/tests/host.spec.ts
identical	modified	modified	1479	1479	a0893d2d504a0c2b2f17c5fde45c2bd140bebe92e695db57b0fd08ebe425d4c6	a0893d2d504a0c2b2f17c5fde45c2bd140bebe92e695db57b0fd08ebe425d4c6	packages/renderer-pdf/package.json
identical	modified	modified	1588	1588	a03f78f137e06216cd8c0cec9c5c1c3ec26428fd50722adf7ca8cd1b054de709	a03f78f137e06216cd8c0cec9c5c1c3ec26428fd50722adf7ca8cd1b054de709	packages/runtime-orbs/package.json
identical	modified	modified	1143	1143	80182e4d043a2487f5606fc9db554e82dc6c9a4967019b251d8aa48b8a65dfd1	80182e4d043a2487f5606fc9db554e82dc6c9a4967019b251d8aa48b8a65dfd1	packages/scheduler-adapter-feishu-bot/package.json
identical	modified	modified	1247	1247	1ff3a38d4b949b8dce994f6c29e5256df99095fc0cda37249b2719587ecfbf95	1ff3a38d4b949b8dce994f6c29e5256df99095fc0cda37249b2719587ecfbf95	packages/scheduler-adapter-harness/package.json
identical	modified	modified	1041	1041	07a76b55e69d1162ad456b8c3e18fdcd306b0324aae96540fd25558526f93c3b	07a76b55e69d1162ad456b8c3e18fdcd306b0324aae96540fd25558526f93c3b	packages/scheduler-adapter-http/package.json
identical	modified	modified	2231	2231	99b906cbf847b458026ba4fb9436a30063232c3952bcd83d2a3f9cd699fdc949	99b906cbf847b458026ba4fb9436a30063232c3952bcd83d2a3f9cd699fdc949	packages/scheduler/package.json
identical	modified	modified	7776	7776	8d3f858bd23dd64dd812f768202dbf44deab8a7220aa4e6fcf1a95922b5f06dd	8d3f858bd23dd64dd812f768202dbf44deab8a7220aa4e6fcf1a95922b5f06dd	packages/skill-market/catalog/bento-ppt/SKILL.md
identical	modified	modified	1494	1494	95d1ac3ea2a31c2c5790f4cba36207e3e89b78f1cbdc77096448ed220c4e2f87	95d1ac3ea2a31c2c5790f4cba36207e3e89b78f1cbdc77096448ed220c4e2f87	packages/skill-market/catalog/build-walmart-buyer-proposal-outline/SKILL.md
identical	modified	modified	1368	1368	9863fe70bc3360ef4347069a6fdc0053d9515b9a5dbebcd119ccbfe716ca0213	9863fe70bc3360ef4347069a6fdc0053d9515b9a5dbebcd119ccbfe716ca0213	packages/skill-market/catalog/category-opportunity-analysis/SKILL.md
identical	modified	modified	1384	1384	04c09d3ad0e48c4de2fd57e337b85816bc7749d6c2377344b744b2ccf2bde1b3	04c09d3ad0e48c4de2fd57e337b85816bc7749d6c2377344b744b2ccf2bde1b3	packages/skill-market/catalog/category-performance-analysis/SKILL.md
identical	modified	modified	1574	1574	e6a5b89aee0a298bf1893a809e27d3ae8173a20a9d5dbfcc3f097ec872c36209	e6a5b89aee0a298bf1893a809e27d3ae8173a20a9d5dbfcc3f097ec872c36209	packages/skill-market/catalog/fineline-investment-analysis/SKILL.md
identical	modified	modified	11220	11220	0393e7ca3638e2c0cff2068be8cbf0a904f782717f95b43c0eef0e5df0cce2ac	0393e7ca3638e2c0cff2068be8cbf0a904f782717f95b43c0eef0e5df0cce2ac	packages/skill-market/catalog/proposal-assistant-orchestration/SKILL.md
identical	modified	modified	1437	1437	ed1992f4693b787a52a2d3d6b5418895b74fdcf6069862fb278ba26647cb12d9	ed1992f4693b787a52a2d3d6b5418895b74fdcf6069862fb278ba26647cb12d9	packages/skill-market/catalog/white-space-analysis/SKILL.md
divergent	modified	modified	2213	1978	c7403311bc77c8d85ba500e97c3db50e4d29c54e1942f26e469f81e80677344d	ee3e221f83507f98dda7dc2f84edb381cf0e60dcf97dd029b5b7ad79815b5998	packages/skill-market/package.json
divergent	modified	modified	28346	697	d5f5deff23640fe5e4261c31e4eb574f6f7b2f64a05b987f170108f8e06261e0	5a3064db3d4d305c86a3e5fb428bf1245fa908f1f9727dea7af36784fee93999	packages/skill-market/src/installer.ts
divergent	modified	modified	9095	13668	43f931f3a48ce2f1b9c2a89c5940e7a3f3e6421982dfd1d5ec6384d7188df0fe	6e74fd3b86f5a0386b0dda16e0ac6700874406d11355fe3c2ac1a324d639614e	packages/skill-market/tests/installer.spec.ts
identical	modified	modified	1826	1826	133c1e8e20a8fe5b2415bcd50b0b4329434ed27e3812569ac58211ff8d124ba7	133c1e8e20a8fe5b2415bcd50b0b4329434ed27e3812569ac58211ff8d124ba7	packages/task-monitor/package.json
identical	modified	modified	33751	33751	da275a04f834374b6dfc884b296f7eb93696236e5efacd03e412269f52f5d842	da275a04f834374b6dfc884b296f7eb93696236e5efacd03e412269f52f5d842	packages/task-monitor/src/index.ts
identical	modified	modified	694	694	370ffc9679c86b12dffc37dddbe5f490032b5c824f039541ccdfae4a25eb1de5	370ffc9679c86b12dffc37dddbe5f490032b5c824f039541ccdfae4a25eb1de5	packages/testkit/package.json
identical	modified	modified	627	627	a7a82bf6ea8bda237bfb089ce69884c665d04fa470d5641bd3b2265bf56a2a08	a7a82bf6ea8bda237bfb089ce69884c665d04fa470d5641bd3b2265bf56a2a08	packages/ui-foundation/package.json
